family,father_height,mother_height,midparent_height,gender,child_height
038,71,66,71.14,male,69
038,71,66,71.14,male,68.5
038,71,66,71.14,female,66
038,71,66,71.14,female,64.5
038,71,66,71.14,female,63
039,71,66,71.14,male,71
039,71,66,71.14,female,67
040,71,66,71.14,male,76
040,71,66,71.14,male,72
040,71,66,71.14,male,71
040,71,66,71.14,male,66
040,71,66,71.14,female,66
041,71.7,65.5,71.22,male,70.5
042,71,65.5,70.87,male,72
042,71,65.5,70.87,male,72
042,71,65.5,70.87,male,71
042,71,65.5,70.87,male,69
042,71,65.5,70.87,female,66
042,71,65.5,70.87,female,65
043,71.5,65.5,71.12,male,73
043,71.5,65.5,71.12,female,65.2
044,71.5,65,70.85,male,68.5
044,71.5,65,70.85,male,67.7
045,71,65,70.6,male,68
045,71,65,70.6,male,68
045,71,65,70.6,female,62
046,71,64,70.06,female,68
046,71,64,70.06,female,68
046,71,64,70.06,female,67.5
046,71,64,70.06,female,66.5
046,71,64,70.06,female,66.5
046,71,64,70.06,female,66
046,71,64,70.06,female,65.5
046,71,64,70.06,female,65
047,71.7,64.5,70.68,male,72
047,71.7,64.5,70.68,male,71
047,71.7,64.5,70.68,male,70.5
047,71.7,64.5,70.68,female,67
048,71,64,70.06,male,68
048,71,64,70.06,male,68
048,71,64,70.06,male,68
049,71.5,64.5,70.58000000000001,male,72
049,71.5,64.5,70.58000000000001,male,71
049,71.5,64.5,70.58000000000001,male,70
049,71.5,64.5,70.58000000000001,female,66
049,71.5,64.5,70.58000000000001,female,64.5
049,71.5,64.5,70.58000000000001,female,64.5
049,71.5,64.5,70.58000000000001,female,62
050,71,64.5,70.33000000000001,male,73
050,71,64.5,70.33000000000001,female,62
051,71.2,63,69.62,female,67.5
051,71.2,63,69.62,female,64.5
052,71,63.5,69.78999999999999,male,71
052,71,63.5,69.78999999999999,male,67
052,71,63.5,69.78999999999999,female,66
052,71,63.5,69.78999999999999,female,65
052,71,63.5,69.78999999999999,female,63.5
053,71,63,69.52000000000001,male,71
053,71,63,69.52000000000001,male,70
053,71,63,69.52000000000001,male,70
053,71,63,69.52000000000001,male,64
053,71,63,69.52000000000001,female,65
053,71,63,69.52000000000001,female,65
053,71,63,69.52000000000001,female,64
053,71,63,69.52000000000001,female,63
053,71,63,69.52000000000001,female,63
054,71,63,69.52000000000001,male,71
054,71,63,69.52000000000001,male,71
054,71,63,69.52000000000001,male,70
054,71,63,69.52000000000001,female,63.5
055,71,62,68.98,male,71
055,71,62,68.98,male,70
055,71,62,68.98,female,64.5
055,71,62,68.98,female,62.5
055,71,62,68.98,female,61.5
056,71,62,68.98,male,72
056,71,62,68.98,male,70.5
056,71,62,68.98,male,70.5
056,71,62,68.98,female,64.5
056,71,62,68.98,female,60
057,71,62.5,69.25,male,70
057,71,62.5,69.25,female,64
057,71,62.5,69.25,female,64
057,71,62.5,69.25,female,64
057,71,62.5,69.25,female,62.5
058,71,62,68.98,male,70.5
058,71,62,68.98,male,70
058,71,62,68.98,male,69
058,71,62,68.98,male,69
058,71,62,68.98,male,66
058,71,62,68.98,female,64.5
058,71,62,68.98,female,64
059,71,61,68.44,female,62
060,71,58,66.82,male,71.5
060,71,58,66.82,male,69
061,70,69,72.26,male,71
061,70,69,72.26,male,70
061,70,69,72.26,male,69
061,70,69,72.26,female,69
062,70,69,72.26,male,70
062,70,69,72.26,male,68.7
062,70,69,72.26,female,68
062,70,69,72.26,female,66
062,70,69,72.26,female,64
062,70,69,72.26,female,62
063,70,68,71.72,male,75
064,70,67,71.18,male,70
064,70,67,71.18,male,69
064,70,67,71.18,female,66
064,70,67,71.18,female,64
064,70,67,71.18,female,60
065,70,67,71.18,female,67.5
066,70,66.5,70.91,male,73
066,70,66.5,70.91,male,72
066,70,66.5,70.91,male,72
066,70,66.5,70.91,male,66.5
066,70,66.5,70.91,female,69.2
066,70,66.5,70.91,female,67.2
066,70,66.5,70.91,female,66.5
066,70,66.5,70.91,female,66
066,70,66.5,70.91,female,66
066,70,66.5,70.91,female,64.2
066,70,66.5,70.91,female,63.7
067,70.5,65,70.35,male,72
067,70.5,65,70.35,male,70.2
067,70.5,65,70.35,male,69
067,70.5,65,70.35,male,68.5
068,70.5,65,70.35,female,68
068,70.5,65,70.35,female,65
068,70.5,65,70.35,female,61.5
068,70.5,65,70.35,female,61
068,70.5,65,70.35,female,61
069,70,65,70.1,male,73
069,70,65,70.1,male,72
069,70,65,70.1,male,70.5
069,70,65,70.1,male,65
069,70,65,70.1,male,65
069,70,65,70.1,female,64.5
069,70,65,70.1,female,63
069,70,65,70.1,female,62
070,70,65,70.1,male,67
070,70,65,70.1,male,65
070,70,65,70.1,female,64.5
070,70,65,70.1,female,62.5
070,70,65,70.1,female,62.5
071,70,65,70.1,male,70
071,70,65,70.1,male,70
071,70,65,70.1,female,67
071,70,65,70.1,female,65
071,70,65,70.1,female,65
071,70,65,70.1,female,63
072,70,65,70.1,male,79
072,70,65,70.1,male,75
072,70,65,70.1,male,71
072,70,65,70.1,female,69
072,70,65,70.1,female,67
072,70,65,70.1,female,65.7
072,70,65,70.1,female,62
073,70,65,70.1,male,73
073,70,65,70.1,male,72.5
073,70,65,70.1,female,65
074,70,65,70.1,male,69
074,70,65,70.1,male,69
075,70,64.7,69.938,male,72
075,70,64.7,69.938,male,70
075,70,64.7,69.938,male,68.7
075,70,64.7,69.938,female,66.5
075,70,64.7,69.938,female,65.5
075,70,64.7,69.938,female,64.7
075,70,64.7,69.938,female,64.5
076,70,64,69.56,male,70.7
076,70,64,69.56,male,70
076,70,64,69.56,male,68
076,70,64,69.56,male,67
076,70,64,69.56,male,66
076,70,64,69.56,male,65
076,70,64,69.56,female,67
077,70,64,69.56,male,70
077,70,64,69.56,male,68
077,70,64,69.56,male,66.7
077,70,64,69.56,female,65.5
078,70,64.2,69.668,male,72
078,70,64.2,69.668,male,70
078,70,64.2,69.668,female,62.5
078,70,64.2,69.668,female,61.2
078,70,64.2,69.668,female,60.1
079,70.5,64,69.81,male,74
079,70.5,64,69.81,male,69.5
079,70.5,64,69.81,male,69
079,70.5,64,69.81,male,68
079,70.5,64,69.81,male,68
079,70.5,64,69.81,male,68
079,70.5,64,69.81,female,65.5
079,70.5,64,69.81,female,65
080,70.5,64.5,70.08000000000001,female,60
081,70,64,69.56,male,68
081,70,64,69.56,female,65
081,70,64,69.56,female,64
081,70,64,69.56,female,62
082,70,64,69.56,male,71
082,70,64,69.56,male,70
082,70,64,69.56,male,70
082,70,64,69.56,male,70
082,70,64,69.56,male,69.5
082,70,64,69.56,male,68.5
082,70,64,69.56,female,69
082,70,64,69.56,female,65
082,70,64,69.56,female,64
083,70,63.7,69.398,male,70
083,70,63.7,69.398,male,67
083,70,63.7,69.398,male,65.5
083,70,63.7,69.398,female,63.7
083,70,63.7,69.398,female,63.2
083,70,63.7,69.398,female,62.5
083,70,63.7,69.398,female,62.2
083,70,63.7,69.398,female,61
084,70.5,63,69.27000000000001,male,70
084,70.5,63,69.27000000000001,male,68.5
084,70.5,63,69.27000000000001,female,65.5
084,70.5,63,69.27000000000001,female,63.5
085,70.5,63,69.27000000000001,male,72.5
085,70.5,63,69.27000000000001,male,69
085,70.5,63,69.27000000000001,male,67
085,70.5,63,69.27000000000001,female,64.5
085,70.5,63,69.27000000000001,female,64
086,70,63.5,69.28999999999999,male,71
086,70,63.5,69.28999999999999,male,67.5
086,70,63.5,69.28999999999999,female,67.5
086,70,63.5,69.28999999999999,female,63.5
087,70,63,69.02000000000001,male,68
087,70,63,69.02000000000001,male,67
087,70,63,69.02000000000001,female,63.7
087,70,63,69.02000000000001,female,62
088,70,63,69.02000000000001,male,70
088,70,63,69.02000000000001,male,66.5
088,70,63,69.02000000000001,female,62
088,70,63,69.02000000000001,female,61
089,70.5,62,68.73,male,72
089,70.5,62,68.73,male,70
089,70.5,62,68.73,male,69.5
089,70.5,62,68.73,male,69.5
089,70.5,62,68.73,male,68
089,70.5,62,68.73,female,65
089,70.5,62,68.73,female,64
089,70.5,62,68.73,female,63
090,70.3,62.7,69.00800000000001,male,70.7
090,70.3,62.7,69.00800000000001,male,69.7
090,70.3,62.7,69.00800000000001,male,69.2
090,70.3,62.7,69.00800000000001,male,65.2
090,70.3,62.7,69.00800000000001,female,64
090,70.3,62.7,69.00800000000001,female,63.5
090,70.3,62.7,69.00800000000001,female,63.2
091,70.5,62,68.73,male,72
091,70.5,62,68.73,male,72
091,70.5,62,68.73,female,60
092,70,61,67.94,male,71.2
092,70,61,67.94,male,67
093,70,60,67.4,male,67
093,70,60,67.4,male,64.5
093,70,60,67.4,female,65
093,70,60,67.4,female,63
094,70,60,67.4,female,65
094,70,60,67.4,female,65
095,70,58.5,66.59,male,71.5
095,70,58.5,66.59,male,64.5
095,70,58.5,66.59,female,63
096,70,58,66.32,male,72
096,70,58,66.32,male,66
096,70,58,66.32,female,66
096,70,58,66.32,female,65
096,70,58,66.32,female,63
097,69,68.5,71.49000000000001,male,75
097,69,68.5,71.49000000000001,male,71
097,69,68.5,71.49000000000001,male,70
097,69,68.5,71.49000000000001,female,66
097,69,68.5,71.49000000000001,female,66
097,69,68.5,71.49000000000001,female,65.5
097,69,68.5,71.49000000000001,female,65
097,69,68.5,71.49000000000001,female,65
097,69,68.5,71.49000000000001,female,64
097,69,68.5,71.49000000000001,female,64
098,69,67,70.68,female,64
099,69,66,70.14,male,73
099,69,66,70.14,male,72
099,69,66,70.14,male,71.7
099,69,66,70.14,male,71.5
099,69,66,70.14,female,65.5
099,69,66,70.14,female,65
099,69,66,70.14,female,62.7
099,69,66,70.14,female,62.5
100,69,66,70.14,male,71.2
100,69,66,70.14,male,71
100,69,66,70.14,male,70
101,69,66.7,70.518,male,75
101,69,66.7,70.518,male,74
101,69,66.7,70.518,male,72
101,69,66.7,70.518,male,68.5
102,69,66,70.14,male,70
102,69,66,70.14,male,68.5
102,69,66,70.14,male,68
102,69,66,70.14,female,65
102,69,66,70.14,female,63
102,69,66,70.14,female,62.5
103,69,66.5,70.41,male,73
103,69,66.5,70.41,male,71
103,69,66.5,70.41,male,70.5
103,69,66.5,70.41,male,70.5
103,69,66.5,70.41,male,67
103,69,66.5,70.41,male,66
103,69,66.5,70.41,female,61
104,69.5,66.5,70.66,male,70.5
104,69.5,66.5,70.66,male,67.5
104,69.5,66.5,70.66,female,64.5
104,69.5,66.5,70.66,female,64
105,69,66.5,70.41,male,71
105,69,66.5,70.41,female,68.5
105,69,66.5,70.41,female,67.5
105,69,66.5,70.41,female,66
105,69,66.5,70.41,female,63
105,69,66.5,70.41,female,63
106,69.5,66,70.39,male,71
106,69.5,66,70.39,male,71
106,69.5,66,70.39,male,70.5
106,69.5,66,70.39,male,70.5
106,69.5,66,70.39,female,66.5
106,69.5,66,70.39,female,65.5
106,69.5,66,70.39,female,64.5
107,69,66,70.14,male,73
107,69,66,70.14,male,72
107,69,66,70.14,male,69
107,69,66,70.14,male,69
107,69,66,70.14,female,66.5
107,69,66,70.14,female,65.5
107,69,66,70.14,female,65.5
107,69,66,70.14,female,65
107,69,66,70.14,female,64
108,69,65,69.6,male,70
108,69,65,69.6,male,68.5
108,69,65,69.6,male,67
108,69,65,69.6,female,65
108,69,65,69.6,female,64
108,69,65,69.6,female,63.5
108,69,65,69.6,female,61
109,69.5,64.5,69.58000000000001,male,69.7
109,69.5,64.5,69.58000000000001,male,68
109,69.5,64.5,69.58000000000001,male,60
109,69.5,64.5,69.58000000000001,female,65.2
109,69.5,64.5,69.58000000000001,female,64.5
109,69.5,64.5,69.58000000000001,female,63.7
109,69.5,64.5,69.58000000000001,female,60
110,69.2,64,69.16,male,71.7
110,69.2,64,69.16,male,66.5
110,69.2,64,69.16,female,65
110,69.2,64,69.16,female,63.5
111,69,63.5,68.78999999999999,female,65.5
112,69,63,68.52000000000001,male,69
112,69,63,68.52000000000001,female,67.5
112,69,63,68.52000000000001,female,63.5
113,69,63,68.52000000000001,male,72
114,69,63,68.52000000000001,male,73
114,69,63,68.52000000000001,male,70
114,69,63,68.52000000000001,male,70
114,69,63,68.52000000000001,male,64
114,69,63,68.52000000000001,female,66
114,69,63,68.52000000000001,female,62
115,69,63.5,68.78999999999999,male,70.5
115,69,63.5,68.78999999999999,male,67
115,69,63.5,68.78999999999999,male,66
115,69,63.5,68.78999999999999,female,65
115,69,63.5,68.78999999999999,female,63
115,69,63.5,68.78999999999999,female,62
115,69,63.5,68.78999999999999,female,61
116,69,63.5,68.78999999999999,male,70.5
116,69,63.5,68.78999999999999,female,63.7
116,69,63.5,68.78999999999999,female,63
117,69.7,62,68.33000000000001,female,62.5
118,69.5,62,68.23,male,73
118,69.5,62,68.23,male,72
118,69.5,62,68.23,male,69
119,69,62,67.98,male,73
119,69,62,67.98,male,71
119,69,62,67.98,male,71
119,69,62,67.98,male,69
119,69,62,67.98,female,63
120,69.5,62,68.23,male,72
120,69.5,62,68.23,male,70
120,69.5,62,68.23,male,67.8
120,69.5,62,68.23,female,65.2
120,69.5,62,68.23,female,64.7
120,69.5,62,68.23,female,64.5
120,69.5,62,68.23,female,63.5
120,69.5,62,68.23,female,63.5
120,69.5,62,68.23,female,62.5
120,69.5,62,68.23,female,62
120,69.5,62,68.23,female,61.5
121,69,62.5,68.25,male,71
121,69,62.5,68.25,male,70
121,69,62.5,68.25,male,70
121,69,62.5,68.25,male,69
121,69,62.5,68.25,female,63.5
121,69,62.5,68.25,female,62.5
121,69,62.5,68.25,female,62.5
121,69,62.5,68.25,female,62
122,69,62,67.98,male,72
122,69,62,67.98,male,68
122,69,62,67.98,female,66
122,69,62,67.98,female,66
123,69.5,61,67.69,male,70
123,69.5,61,67.69,male,69.5
123,69.5,61,67.69,male,69
123,69.5,61,67.69,female,63
123,69.5,61,67.69,female,62
124,69,61,67.44,male,68
124,69,61,67.44,male,68
124,69,61,67.44,male,67.5
124,69,61,67.44,male,64
124,69,61,67.44,male,63
124,69,61,67.44,male,63
124,69,61,67.44,female,63.5
124,69,61,67.44,female,62
124,69,61,67.44,female,62
125,69,60,66.9,male,70.5
125,69,60,66.9,female,68
125,69,60,66.9,female,62.5
126,69,60,66.9,male,69
126,69,60,66.9,male,66
126,69,60,66.9,female,61.7
126,69,60,66.9,female,60.5
127,69,60.5,67.17,male,69.5
128,68.7,70.5,72.42,male,71
128,68.7,70.5,72.42,female,61.7
129,68.5,67,70.43,male,73
129,68.5,67,70.43,male,71
129,68.5,67,70.43,female,67
130,68.5,66.5,70.16,male,70
130,68.5,66.5,70.16,male,69
130,68.5,66.5,70.16,male,69
130,68.5,66.5,70.16,male,68.7
130,68.5,66.5,70.16,male,68.5
130,68.5,66.5,70.16,male,68.5
130,68.5,66.5,70.16,male,68
130,68.5,66.5,70.16,male,68
130,68.5,66.5,70.16,male,68
130,68.5,66.5,70.16,male,66.2
130,68.5,66.5,70.16,female,63.2
131,68,65,69.1,male,67.5
131,68,65,69.1,male,66
132,68,65.5,69.37,male,66
132,68,65.5,69.37,female,64
133,68,65.5,69.37,male,71.7
133,68,65.5,69.37,male,71.5
133,68,65.5,69.37,male,70.7
133,68,65.5,69.37,male,65.5
133,68,65.5,69.37,female,66.5
133,68,65.5,69.37,female,65.2
133,68,65.5,69.37,female,61.5
134,68,65,69.1,male,72
134,68,65,69.1,male,72
134,68,65,69.1,female,68
134,68,65,69.1,female,66
135,68.5,65,69.35,male,69.2
135,68.5,65,69.35,male,68
135,68.5,65,69.35,male,66
135,68.5,65,69.35,male,66
135,68.5,65,69.35,female,62
135,68.5,65,69.35,female,61.5
135,68.5,65,69.35,female,61
135,68.5,65,69.35,female,60
136A,68.5,65,69.35,male,72
136A,68.5,65,69.35,male,70.5
136A,68.5,65,69.35,male,68.7
136A,68.5,65,69.35,male,68.5
136A,68.5,65,69.35,male,67.7
136A,68.5,65,69.35,female,64
136A,68.5,65,69.35,female,63.5
136A,68.5,65,69.35,female,63
136,68,64,68.56,male,71
136,68,64,68.56,male,68
136,68,64,68.56,male,68
136,68,64,68.56,male,67
136,68,64,68.56,female,65
136,68,64,68.56,female,64
136,68,64,68.56,female,63
136,68,64,68.56,female,63
136,68,64,68.56,female,62
136,68,64,68.56,female,61
137,68,64,68.56,male,66
137,68,64,68.56,male,63
137,68,64,68.56,female,65.5
137,68,64,68.56,female,62
138,68,64,68.56,male,71.2
138,68,64,68.56,male,71.2
138,68,64,68.56,male,69
138,68,64,68.56,male,68.5
138,68,64,68.56,female,62.5
139,68,64.5,68.83000000000001,female,62
140,68,64,68.56,male,69
140,68,64,68.56,male,67
140,68,64,68.56,male,66
140,68,64,68.56,female,66
140,68,64,68.56,female,66
140,68,64,68.56,female,65
140,68,64,68.56,female,65
140,68,64,68.56,female,65
140,68,64,68.56,female,64
140,68,64,68.56,female,63
141,68,63,68.02000000000001,male,70.5
141,68,63,68.02000000000001,male,70
141,68,63,68.02000000000001,male,68
141,68,63,68.02000000000001,male,66
141,68,63,68.02000000000001,male,66
141,68,63,68.02000000000001,female,66
141,68,63,68.02000000000001,female,62
141,68,63,68.02000000000001,female,61.5
142,68.5,63.5,68.53999999999999,male,73.5
142,68.5,63.5,68.53999999999999,male,70
142,68.5,63.5,68.53999999999999,male,69.5
142,68.5,63.5,68.53999999999999,female,65.5
143,68,63,68.02000000000001,male,67
144,68,63,68.02000000000001,male,70
144,68,63,68.02000000000001,male,68
144,68,63,68.02000000000001,female,64.5
144,68,63,68.02000000000001,female,64
145,68,63,68.02000000000001,male,71
145,68,63,68.02000000000001,male,68
145,68,63,68.02000000000001,male,66
145,68,63,68.02000000000001,male,65.5
145,68,63,68.02000000000001,male,65
145,68,63,68.02000000000001,female,63
145,68,63,68.02000000000001,female,62
145,68,63,68.02000000000001,female,62
146,68,63,68.02000000000001,male,67
146,68,63,68.02000000000001,male,67
146,68,63,68.02000000000001,male,66
146,68,63,68.02000000000001,female,64
146,68,63,68.02000000000001,female,63.5
146,68,63,68.02000000000001,female,61
147,68.5,63.5,68.53999999999999,male,68.2
148,68,63,68.02000000000001,male,70
149,68.2,63.5,68.39,male,70
149,68.2,63.5,68.39,male,69
149,68.2,63.5,68.39,male,67
149,68.2,63.5,68.39,male,65.5
149,68.2,63.5,68.39,female,64.5
150,68,62.5,67.75,male,68.5
151,68.7,62,67.83000000000001,male,67.7
151,68.7,62,67.83000000000001,female,61.7
152,68,62.5,67.75,male,66.5
153,68,61,66.94,male,68.5
153,68,61,66.94,male,68
153,68,61,66.94,male,64
153,68,61,66.94,female,63.5
153,68,61,66.94,female,63
154,68,60.2,66.50800000000001,male,66.7
155,68,60,66.4,male,64
155,68,60,66.4,female,61
155,68,60,66.4,female,61
155,68,60,66.4,female,60
155,68,60,66.4,female,60
155,68,60,66.4,female,60
155,68,60,66.4,female,56
156,68,60,66.4,male,67.5
156,68,60,66.4,male,67
156,68,60,66.4,male,66.5
156,68,60,66.4,female,60
157,68.5,59,66.11,male,69
158,68,59,65.86,male,68
158,68,59,65.86,male,65
158,68,59,65.86,male,64.7
158,68,59,65.86,male,64
158,68,59,65.86,male,64
158,68,59,65.86,male,63
158,68,59,65.86,female,65
158,68,59,65.86,female,65
158,68,59,65.86,female,62
158,68,59,65.86,female,61
159,67,66.2,69.248,male,72.7
159,67,66.2,69.248,male,72.7
159,67,66.2,69.248,male,71.5
159,67,66.2,69.248,female,65.5
159,67,66.2,69.248,female,63.5
160,67,66.5,69.41,male,71
161,67,66,69.14,male,73
161,67,66,69.14,male,71
161,67,66,69.14,male,70.7
161,67,66,69.14,male,70
161,67,66,69.14,male,69
161,67,66,69.14,female,68
161,67,66,69.14,female,65.5
161,67,66,69.14,female,62
162,67,65,68.6,male,69.7
162,67,65,68.6,male,67.5
162,67,65,68.6,female,65.5
162,67,65,68.6,female,65
162,67,65,68.6,female,64.5
162,67,65,68.6,female,63.5
163,67,65.5,68.87,male,70
163,67,65.5,68.87,male,69
163,67,65.5,68.87,female,65.5
163,67,65.5,68.87,female,65.5
163,67,65.5,68.87,female,63
164,67,65.5,68.87,male,70
164,67,65.5,68.87,male,67.7
164,67,65.5,68.87,female,63
164,67,65.5,68.87,female,60
165,67,65,68.6,male,65
165,67,65,68.6,female,62
165,67,65,68.6,female,62
166,67.5,65,68.85,male,71
166,67.5,65,68.85,male,69
166,67.5,65,68.85,female,64
166,67.5,65,68.85,female,64
166,67.5,65,68.85,female,63
166,67.5,65,68.85,female,63
166,67.5,65,68.85,female,63
166,67.5,65,68.85,female,63
166,67.5,65,68.85,female,63
166,67.5,65,68.85,female,62.5
166,67.5,65,68.85,female,62
167,67,64,68.06,male,71.5
167,67,64,68.06,male,70
167,67,64,68.06,male,67
167,67,64,68.06,male,67
168,67,63.5,67.78999999999999,male,71
168,67,63.5,67.78999999999999,male,70.2
168,67,63.5,67.78999999999999,male,69.2
168,67,63.5,67.78999999999999,male,68.5
168,67,63.5,67.78999999999999,male,68
168,67,63.5,67.78999999999999,male,67
168,67,63.5,67.78999999999999,male,65.5
168,67,63.5,67.78999999999999,female,63.5
169,67,63,67.52000000000001,male,69
169,67,63,67.52000000000001,male,68
169,67,63,67.52000000000001,female,63
170,67.5,62,67.23,male,70
170,67.5,62,67.23,male,69.5
170,67.5,62,67.23,male,69
170,67.5,62,67.23,male,68.5
170,67.5,62,67.23,female,66
171,67,61,66.44,male,67
172,66,67,69.18,male,70.5
172,66,67,69.18,male,70.5
172,66,67,69.18,male,67
172,66,67,69.18,male,66
172,66,67,69.18,male,66
172,66,67,69.18,female,62
172,66,67,69.18,female,62
172,66,67,69.18,female,61.5
173,66,67,69.18,male,72
173,66,67,69.18,male,65
173,66,67,69.18,male,65
173,66,67,69.18,female,67
173,66,67,69.18,female,64
173,66,67,69.18,female,64
173,66,67,69.18,female,62
173,66,67,69.18,female,60
173,66,67,69.18,female,60
174,66,66,68.64,male,66
174,66,66,68.64,male,65
174,66,66,68.64,female,67
174,66,66,68.64,female,66.5
174,66,66,68.64,female,65.5
175,66,66,68.64,male,72
175,66,66,68.64,male,68
175,66,66,68.64,female,66
175,66,66,68.64,female,65
175,66,66,68.64,female,62
175,66,66,68.64,female,61
176,66.5,65,68.35,male,68.7
176,66.5,65,68.35,male,68.5
176,66.5,65,68.35,male,66.5
176,66.5,65,68.35,male,64.5
176,66.5,65,68.35,female,62.5
176,66.5,65,68.35,female,60.5
176,66.5,65,68.35,female,60.5
176,66.5,65,68.35,female,57.5
177,66,65.5,68.37,male,72
177,66,65.5,68.37,male,71
177,66,65.5,68.37,male,67
177,66,65.5,68.37,female,66
177,66,65.5,68.37,female,65
178,66,63,67.02000000000001,male,70
179,66,63.5,67.28999999999999,female,64.5
179,66,63.5,67.28999999999999,female,62
180,66.5,63,67.27000000000001,male,67.2
180,66.5,63,67.27000000000001,male,67
180,66.5,63,67.27000000000001,male,65
180,66.5,63,67.27000000000001,female,65
180,66.5,63,67.27000000000001,female,65
180,66.5,63,67.27000000000001,female,63
181,66.5,62.5,67,male,70
181,66.5,62.5,67,male,68
181,66.5,62.5,67,female,63.5
181,66.5,62.5,67,female,62.5
181,66.5,62.5,67,female,62.5
181,66.5,62.5,67,female,62.5
181,66.5,62.5,67,female,62.5
